单价(元),数量(个),消费城市级别,支付方式,优惠方式,优惠金额(元),实际支付(元),库存剩余(件),商品评分,是否复购,客户年龄段,商品类别,包装规格(g),是否节假日,是否用餐高峰
21.46,8,3,0,3,8,163.68,1541,25,1,3,1,200.0,0,1
30.89,7,1,4,3,6,210.23,7214,32,1,0,3,600.0,1,1
20.83,5,0,4,5,4,100.15,8327,42,1,3,1,1000.0,1,0
19.91,0,3,3,0,0,0.0,4646,14,1,0,3,1000.0,0,0
10.58,0,1,1,0,0,0.0,3262,35,0,0,0,200.0,0,0
11.84,4,0,1,1,4,43.36,84,41,1,0,0,300.0,0,1
44.22,0,0,0,3,0,0.0,6507,31,1,1,1,500.0,0,0
38.15,2,0,0,1,10,66.3,1541,25,1,2,1,200.0,0,1
35.4,1,1,1,0,0,35.4,14,42,1,0,3,200.0,0,1
16.52,9,0,3,4,27,121.68,9,17,0,0,3,300.0,0,1
11.06,0,2,3,3,0,0.0,6088,44,1,3,1,400.0,0,0
33.02,5,3,4,3,33,132.1,77,45,1,1,1,400.0,1,0
17.83,9,0,3,3,2,158.47,4646,14,0,1,3,1000.0,0,0
12.85,7,1,2,4,18,71.95,87,40,1,3,3,800.0,1,0
10.93,1,2,4,5,1,9.93,6916,43,1,0,3,1000.0,0,0
42.58,1,0,3,1,35,7.58,55,24,1,1,3,200.0,0,0
37.87,2,3,0,5,5,70.74,3706,40,1,0,3,400.0,0,0
45.1,9,1,3,1,23,382.9,3673,43,1,0,3,200.0,0,1
42.14,9,1,4,4,3,376.26,1379,38,0,3,3,1000.0,0,1
21.28,9,0,4,3,2,189.52,8327,42,1,3,1,1000.0,1,0
17.1,5,1,4,3,3,82.5,7214,32,0,3,3,600.0,1,1
41.06,10,1,0,2,45,365.6,20,46,1,1,3,400.0,0,0
44.34,7,1,3,5,4,306.38,9724,41,1,0,3,400.0,1,1
43.06,2,1,3,0,0,86.12,7079,33,1,3,3,200.0,0,1
22.8,6,1,1,1,9,127.8,3262,35,0,1,0,200.0,0,0
27.94,9,3,3,4,5,246.46,9724,41,1,1,3,400.0,1,1
13.65,0,3,3,3,0,0.0,55,24,1,3,3,200.0,0,0
29.78,9,0,1,0,0,268.02,42,35,0,0,2,500.0,1,1
14.04,4,3,2,3,9,47.16,87,40,1,3,3,800.0,1,0
13.39,5,1,3,5,19,47.95,9,17,0,1,3,300.0,0,1
24.97,4,0,4,0,0,99.88,5200,45,1,1,0,400.0,0,1
24.83,0,1,4,5,0,0.0,7214,32,0,0,3,600.0,1,1
29.71,9,3,3,3,8,259.39,2633,20,1,0,1,200.0,0,0
14.75,1,3,0,5,5,9.75,4971,48,0,0,1,500.0,0,0
24.99,0,1,2,2,0,0.0,6237,40,1,3,3,800.0,0,1
32.15,2,2,4,2,1,63.3,1379,38,0,0,3,1000.0,0,1
37.83,10,2,4,5,16,362.3,7556,50,1,0,3,1000.0,0,0
35.1,2,0,3,3,2,68.2,6088,44,0,1,1,400.0,0,0
33.37,0,3,3,5,0,0.0,55,24,1,1,3,200.0,0,0
11.82,7,1,2,0,0,82.74,7981,31,0,0,1,1000.0,0,0
48.02,10,1,2,1,30,450.2,72,32,0,0,3,200.0,0,1
45.61,1,1,3,5,9,36.61,3673,43,1,0,3,200.0,0,1
17.52,6,1,0,3,4,101.12,60,32,0,1,3,800.0,0,0
33.35,7,1,4,3,11,222.45,8327,42,1,1,1,1000.0,1,0
49.45,9,3,3,5,0,445.05,9724,41,1,0,3,400.0,1,1
37.39,3,2,4,4,6,106.17,2333,36,0,2,3,800.0,0,0
46.44,4,1,3,5,42,143.76,9,17,0,0,3,300.0,0,1
42.9,1,1,1,4,9,33.9,3262,35,0,1,0,200.0,0,0
11.81,3,3,1,1,14,21.43,84,41,1,0,0,300.0,0,1
16.02,2,2,1,0,0,32.04,3262,35,0,0,0,200.0,0,0
33.77,0,2,0,0,0,0.0,1541,25,1,3,1,200.0,0,1
48.8,3,1,3,3,85,61.4,9,17,0,0,3,300.0,0,1
20.94,6,0,1,1,3,122.64,14,42,0,1,3,200.0,0,1
42.52,6,1,4,0,0,255.12,7556,50,1,3,3,1000.0,0,0
49.87,8,3,4,1,29,369.96,7556,50,1,0,3,1000.0,0,0
32.22,2,3,0,0,0,64.44,20,46,1,0,3,400.0,0,0
40.76,8,1,4,5,5,321.08,7214,32,1,1,3,600.0,1,1
43.99,0,1,2,5,0,0.0,33,13,0,3,1,500.0,0,0
19.15,0,3,4,0,0,0.0,77,45,1,0,1,400.0,1,0
34.73,8,1,2,1,13,264.84,7981,31,0,2,1,1000.0,0,0
36.86,6,1,3,4,19,202.16,8241,13,0,0,3,300.0,1,0
30.81,9,2,3,3,27,250.29,20,48,1,2,3,300.0,1,1
44.09,4,3,2,3,7,169.36,7663,39,1,0,3,500.0,0,1
32.44,2,0,3,0,0,64.88,20,48,1,2,3,300.0,1,1
11.15,4,1,3,0,0,44.6,20,48,1,0,3,300.0,1,1
35.34,10,1,1,0,0,353.4,8014,34,0,3,3,500.0,0,0
13.03,1,0,1,4,0,13.03,7391,45,1,3,1,200.0,0,0
23.83,5,1,3,4,12,107.15,20,48,0,0,3,300.0,1,1
28.96,0,3,0,3,0,0.0,3097,38,0,1,1,400.0,0,0
13.55,6,1,4,0,0,81.3,4242,46,1,1,2,400.0,0,1
14.83,10,1,4,0,0,148.3,4018,32,0,1,3,200.0,0,1
24.57,2,1,0,0,0,49.14,6367,47,1,1,3,800.0,0,1
37.62,2,1,3,5,65,10.24,79,40,1,3,3,300.0,0,1
46.83,6,1,0,0,0,280.98,3097,38,1,2,1,400.0,0,0
18.37,7,0,4,3,3,125.59,4018,32,0,1,3,200.0,0,1
29.38,5,0,4,4,16,130.9,4018,32,0,0,3,200.0,0,1
45.81,4,1,4,4,20,163.24,4242,46,1,1,2,400.0,0,1
27.9,3,1,4,3,32,51.7,95,32,0,1,1,1000.0,0,0
33.47,4,1,1,5,34,99.88,12,33,0,0,1,400.0,0,1
15.1,3,3,2,5,8,37.3,5738,34,0,3,1,200.0,0,0
35.84,9,1,1,5,16,306.56,72,36,0,0,0,200.0,0,0
17.46,4,1,2,2,2,67.84,1022,46,1,2,3,400.0,1,0
45.87,5,2,4,2,16,213.35,48,48,1,2,3,1000.0,0,1
13.21,1,1,4,5,4,9.21,48,48,1,3,3,1000.0,0,1
30.98,2,2,0,4,6,55.96,25,39,1,0,3,800.0,1,1
14.48,1,3,2,4,3,11.48,8987,30,0,0,2,300.0,0,0
42.68,10,1,4,0,0,426.8,8759,34,0,0,3,500.0,0,1
36.75,7,1,2,2,27,230.25,72,48,1,0,3,1000.0,1,0
32.86,0,1,3,0,0,0.0,9165,37,1,0,1,200.0,0,1
22.95,4,1,3,5,7,84.8,9165,37,1,0,1,200.0,0,1
34.42,10,1,4,2,11,333.2,9445,42,1,3,3,800.0,0,1
21.55,0,3,1,1,0,0.0,68,38,0,3,2,300.0,0,0
16.17,1,1,1,4,16,0.17,68,38,0,1,2,300.0,0,0
31.3,2,1,0,0,0,62.6,7985,39,0,0,3,500.0,0,1
12.53,5,3,3,0,0,62.65,23,31,1,0,2,800.0,1,0
49.6,0,3,3,5,0,0.0,23,31,1,0,2,800.0,1,0
37.26,2,3,1,4,8,66.52,68,38,0,3,2,300.0,0,0
28.86,4,1,4,2,5,110.44,8759,34,0,0,3,500.0,0,1
47.18,9,1,3,5,3,421.62,23,31,1,3,2,800.0,1,0
48.6,2,1,2,0,0,97.2,72,48,0,0,3,1000.0,1,0
39.23,4,2,4,5,6,150.92,7085,44,1,0,1,200.0,0,1
47.53,8,1,0,4,6,374.24,9802,15,0,2,3,1000.0,0,1
16.57,9,0,1,1,8,141.13,48,39,1,1,3,500.0,0,1
42.66,1,3,0,5,42,0.66,64,45,1,3,3,800.0,0,0
25.08,5,3,4,3,3,122.4,7085,44,1,0,1,200.0,0,1
30.11,0,1,4,5,0,0.0,8759,34,0,2,3,500.0,0,1
45.98,4,3,2,2,5,178.92,8987,30,0,1,2,300.0,0,0
25.36,4,3,4,3,9,92.44,9445,42,1,1,3,800.0,0,1
31.74,1,0,3,0,0,31.74,9165,37,1,2,1,200.0,0,1
47.59,5,0,0,5,6,231.95,7985,39,0,3,3,500.0,0,1
34.8,1,2,0,4,1,33.8,9802,15,0,1,3,1000.0,0,1
31.34,10,3,3,5,38,275.4,23,31,1,3,2,800.0,1,0
22.47,8,2,2,3,9,170.76,72,48,1,3,3,1000.0,1,0
19.94,5,0,4,4,3,96.7,8759,34,0,4,3,500.0,0,1
39.76,0,2,1,0,0,0.0,68,38,0,0,2,300.0,0,0
14.43,3,1,3,4,3,40.29,9165,37,1,0,1,200.0,0,1
41.89,9,1,1,1,16,361.01,8,31,1,0,3,500.0,0,0
38.8,4,0,3,3,6,149.2,5468,39,1,0,3,300.0,0,0
20.07,1,2,3,5,7,13.07,2546,32,1,3,3,800.0,0,1
46.34,10,1,1,0,0,463.4,4925,47,1,3,3,800.0,1,0
28.48,6,1,0,5,12,158.88,7089,38,1,4,1,200.0,0,1
30.24,7,0,3,5,5,206.68,5468,39,1,3,3,300.0,0,0
37.87,2,1,4,3,46,29.74,14,35,1,1,3,500.0,0,0
16.1,1,1,4,3,3,13.1,1751,34,1,1,3,600.0,1,1
47.37,4,1,3,1,3,186.48,6295,49,1,1,2,500.0,0,1
44.8,8,1,3,3,6,352.4,3727,38,1,3,3,800.0,0,0
12.19,9,2,0,4,1,108.71,1310,36,1,1,3,200.0,0,0
23.41,10,3,0,0,0,234.1,5662,10,0,0,1,1000.0,1,1
42.11,8,1,0,3,12,324.88,8583,37,1,1,2,200.0,1,0
25.93,8,1,3,5,1,206.44,6295,49,0,0,2,500.0,0,1
23.85,10,2,3,3,0,238.5,5323,24,0,3,1,600.0,0,1
23.88,0,1,3,5,0,0.0,61,47,1,3,2,400.0,0,1
28.09,3,3,3,3,21,63.27,61,47,0,1,2,400.0,0,1
36.54,9,3,4,4,3,325.86,2897,43,1,1,3,500.0,1,0
48.44,7,3,4,0,0,339.08,2897,43,1,3,3,500.0,1,0
33.82,1,3,3,3,1,32.82,4542,41,1,2,0,200.0,1,1
32.39,0,1,3,0,0,0.0,6017,43,1,1,3,200.0,1,1
16.21,3,2,1,1,0,48.63,5548,44,1,2,3,1000.0,0,1
44.47,3,3,1,3,5,128.41,3808,37,0,1,3,300.0,0,0
24.93,2,0,3,3,0,49.86,3392,43,1,0,3,500.0,1,0
38.64,7,1,1,4,7,263.48,5548,44,1,1,3,1000.0,0,1
11.08,0,3,0,4,0,0.0,4693,34,0,0,1,600.0,0,0
36.88,8,1,4,2,1,294.04,1943,14,0,3,0,200.0,1,1
10.79,4,1,3,4,1,42.16,6017,43,1,1,3,200.0,1,1
14.16,5,2,3,0,0,70.8,6017,43,0,0,3,200.0,1,1
36.11,1,3,1,3,0,36.11,3808,37,0,0,3,300.0,0,0
13.98,7,3,3,0,0,97.86,6017,43,1,0,3,200.0,1,1
21.73,4,1,0,5,1,85.92,4693,34,0,0,1,600.0,0,0
11.06,10,0,1,0,0,110.6,5548,44,1,0,3,1000.0,0,1
33.32,6,0,3,1,4,195.92,6017,43,0,0,3,200.0,1,1
21.78,3,2,2,2,0,65.34,8987,30,0,0,2,300.0,0,0
47.94,5,3,3,5,5,234.7,5468,39,1,3,3,300.0,0,0
27.01,1,3,3,0,0,27.01,23,31,1,3,2,800.0,1,0
20.75,7,3,0,3,3,142.25,9802,15,0,1,3,1000.0,0,1
31.67,9,3,3,0,0,285.03,20,48,0,3,3,300.0,1,1
35.34,2,1,1,5,24,46.68,12,33,0,3,1,400.0,0,1
20.96,9,3,3,0,0,188.64,3727,38,1,1,3,800.0,0,0
32.17,5,0,1,1,21,139.85,72,36,0,0,0,200.0,0,0
36.06,4,2,3,4,2,142.24,6017,43,1,3,3,200.0,1,1
11.88,1,3,3,0,0,11.88,61,47,1,0,2,400.0,0,1
13.31,4,0,2,5,1,52.24,1022,46,1,0,3,400.0,1,0
24.23,7,0,3,3,8,161.61,20,48,1,4,3,300.0,1,1
47.47,1,3,2,5,9,38.47,8987,30,0,1,2,300.0,0,0
33.8,1,1,3,1,6,27.8,3392,43,1,1,3,500.0,1,0
33.87,0,1,0,2,0,0.0,7985,39,0,0,3,500.0,0,1
42.76,4,0,0,1,17,154.04,8583,37,1,0,2,200.0,1,0
20.89,9,1,3,3,4,184.01,6295,49,1,0,2,500.0,0,1
33.61,3,2,0,5,3,97.83,7985,39,0,3,3,500.0,0,1
24.44,8,3,2,0,0,195.52,72,48,1,4,3,1000.0,1,0
48.01,7,1,3,3,2,334.07,6017,43,0,0,3,200.0,1,1
27.84,7,3,2,0,0,194.88,5738,34,0,4,1,200.0,0,0
43.97,8,1,1,3,15,336.76,8261,33,0,1,3,1000.0,0,0
47.76,4,2,1,4,18,173.04,5231,47,1,3,3,800.0,0,0
11.58,7,1,0,0,0,81.06,30,10,0,3,1,300.0,0,0
47.01,2,2,3,5,87,7.02,37,38,1,1,3,800.0,0,1
11.36,5,1,3,0,0,56.8,8057,48,1,2,3,400.0,0,1
37.9,2,0,3,5,5,70.8,1037,50,1,2,3,200.0,0,1
21.89,6,3,3,0,0,131.34,1982,31,0,4,1,400.0,1,1
46.98,2,1,3,5,26,67.96,4032,41,1,0,0,800.0,0,1
33.85,5,1,0,0,0,169.25,2115,33,1,1,3,200.0,0,1
38.99,0,2,3,0,0,0.0,1982,31,0,1,1,400.0,1,1
34.63,0,1,3,3,0,0.0,37,38,1,1,3,800.0,0,1
44.99,3,1,3,0,0,134.97,37,38,1,1,3,800.0,0,1
47.56,7,1,4,1,56,276.92,22,32,1,1,2,600.0,1,0
41.95,4,0,2,5,7,160.8,8090,43,1,0,1,500.0,0,0
49.92,3,1,0,0,0,149.76,1437,50,1,2,3,200.0,0,1
24.03,1,2,1,5,5,19.03,6757,36,1,1,1,600.0,0,1
29.2,2,3,3,0,0,58.4,5606,30,0,3,1,200.0,0,0
44.95,3,1,2,0,0,134.85,9869,30,1,1,3,1000.0,0,1
49.36,9,2,3,2,3,441.24,3060,43,1,1,3,500.0,0,0
40.73,10,1,2,1,14,393.3,9000,31,1,4,3,1000.0,0,1
24.18,7,1,3,3,2,167.26,8057,48,1,3,3,400.0,0,1
21.49,5,3,1,3,21,86.45,79,13,0,0,1,1000.0,0,1
11.68,6,0,3,4,4,66.08,6,35,0,1,0,500.0,1,0
25.37,7,2,3,4,4,173.59,2249,43,1,3,3,1000.0,0,0
41.45,7,0,2,0,0,290.15,9000,31,1,0,3,1000.0,0,1
26.7,3,3,3,2,6,74.1,4032,41,1,0,0,800.0,0,1
19.27,0,1,2,0,0,0.0,9869,30,1,0,3,1000.0,0,1
47.71,9,1,1,4,27,402.39,5962,34,0,3,1,200.0,1,1
17.06,8,2,0,3,1,135.48,1437,50,0,2,3,200.0,0,1
12.31,4,2,3,4,1,48.24,2249,43,1,0,3,1000.0,0,0
16.96,6,3,1,1,1,100.76,2772,39,0,1,2,200.0,0,1
40.33,0,0,2,0,0,0.0,9000,31,1,3,3,1000.0,0,1
31.48,8,1,1,5,5,246.84,4789,34,1,0,3,300.0,1,1
33.2,8,1,3,5,17,248.6,1547,39,1,1,1,500.0,0,1
13.66,9,0,2,2,3,119.94,8090,43,1,0,1,500.0,0,0
20.62,8,0,1,5,6,158.96,5231,47,1,0,3,800.0,0,0
15.18,4,3,3,3,1,59.72,1982,31,0,3,1,400.0,1,1
45.55,9,0,4,0,0,409.95,5853,30,1,0,1,200.0,0,1
32.03,9,1,3,0,0,288.27,6,35,0,1,0,500.0,1,0
26.34,5,3,1,3,6,125.7,6757,36,1,1,1,600.0,0,1
13.24,1,3,1,5,3,10.24,6843,32,0,4,3,800.0,0,1
37.33,0,3,3,3,0,0.0,1982,31,0,3,1,400.0,1,1
13.05,10,0,3,4,2,128.5,6,35,0,3,0,500.0,1,0
33.7,5,1,1,0,0,168.5,4016,45,1,4,3,1000.0,1,1
42.99,7,0,0,5,20,280.93,1235,37,0,1,3,800.0,1,1
45.15,4,2,2,5,6,174.6,8090,43,1,1,1,500.0,0,0
44.02,0,1,3,0,0,0.0,1037,50,1,1,3,200.0,0,1
43.48,9,2,3,1,5,386.32,8057,48,1,1,3,400.0,0,1
37.9,1,1,4,0,0,37.9,64,43,1,1,3,300.0,0,1
37.21,4,3,3,0,0,148.84,37,38,1,3,3,800.0,0,1
40.11,6,3,2,5,5,235.66,3990,35,0,0,1,300.0,0,1
16.34,0,1,3,5,0,0.0,1982,31,0,0,1,400.0,1,1
15.15,5,1,0,5,8,67.75,25,43,1,0,3,500.0,0,0
39.74,7,1,1,3,18,260.18,4543,17,0,1,3,800.0,0,1
42.72,6,0,0,5,5,251.32,9441,22,0,1,1,600.0,0,1
43.29,0,2,1,0,0,0.0,4016,45,1,2,3,1000.0,1,1
20.39,7,3,4,4,3,139.73,5119,33,1,0,3,600.0,0,0
31.6,1,2,4,0,0,31.6,5119,33,0,0,3,600.0,0,0
40.44,1,2,0,2,40,0.44,84,38,0,3,3,800.0,1,0
31.65,1,1,2,0,0,31.65,4608,31,0,2,3,800.0,1,1
47.28,5,0,1,4,17,219.4,6375,37,1,3,3,600.0,0,0
33.29,9,1,1,4,3,296.61,6375,37,0,0,3,600.0,0,0
48.76,6,0,0,3,29,263.56,84,38,0,3,3,800.0,1,0
15.2,6,2,1,3,3,88.2,2590,41,0,1,3,800.0,1,0
29.55,2,1,2,2,48,11.1,36,49,1,1,1,400.0,0,0
40.82,7,2,1,3,22,263.74,7642,31,1,1,1,1000.0,0,0
36.18,7,2,2,3,3,250.26,4608,31,0,2,3,800.0,1,1
47.74,4,2,1,5,61,129.96,80,42,0,0,3,800.0,0,1
45.76,6,1,2,0,0,274.56,3938,37,1,0,1,400.0,0,1
19.2,0,3,4,5,0,0.0,2935,48,1,0,0,300.0,1,0
36.07,2,3,3,3,4,68.14,4971,38,0,1,3,800.0,0,0
41.06,3,1,3,0,0,123.18,6714,46,1,2,3,400.0,1,1
40.84,10,1,3,0,0,408.4,5163,50,1,1,3,800.0,1,1
34.67,4,1,4,1,6,132.68,4716,39,1,3,0,800.0,0,0
18.02,3,3,3,4,0,54.06,3290,32,0,0,3,300.0,0,0
29.66,9,0,3,3,7,259.94,3290,32,0,1,3,300.0,0,0
33.28,7,0,4,2,4,228.96,3942,32,1,0,3,1000.0,1,1
22.41,7,3,3,5,8,148.87,3290,32,1,1,3,300.0,0,0
10.39,4,0,3,3,0,41.56,7,34,0,1,2,1000.0,1,1
23.06,10,2,3,0,0,230.6,7,34,1,3,2,1000.0,1,1
13.51,1,0,4,2,3,10.51,4716,39,1,0,0,800.0,0,0
25.88,8,1,3,4,30,177.04,7,34,1,1,2,1000.0,1,1
45.79,6,0,1,3,5,269.74,6743,45,1,0,0,400.0,1,0
42.69,0,2,1,5,0,0.0,51,33,0,3,0,400.0,0,0
28.09,9,3,1,3,11,241.81,2885,40,1,3,3,300.0,0,1
13.27,5,3,0,3,3,63.35,3945,32,0,0,3,1000.0,1,0
12.41,10,0,3,3,2,122.1,2561,38,0,1,3,400.0,1,0
18.77,3,1,4,4,0,56.31,5475,30,1,0,3,500.0,0,0
11.23,7,3,3,0,0,78.61,2561,38,1,3,3,400.0,1,0
20.31,5,1,3,1,2,99.55,2561,38,0,0,3,400.0,1,0
11.6,2,1,1,3,2,21.2,7792,48,0,2,3,1000.0,0,0
33.15,10,1,4,1,0,331.5,1789,41,1,1,3,1000.0,1,1
46.49,8,1,3,3,72,299.92,90,35,0,0,0,1000.0,0,0
38.63,10,0,4,4,3,383.3,2680,37,1,1,1,1000.0,0,0
48.86,6,0,0,1,18,275.16,7548,38,0,2,2,400.0,0,1
20.33,0,2,3,3,0,0.0,1872,32,1,0,3,400.0,1,0
48.79,7,0,4,5,19,322.53,8170,48,1,3,3,1000.0,0,0
12.94,4,0,3,0,0,51.76,1872,32,1,0,3,400.0,1,0
16.68,8,0,3,0,0,133.44,1872,32,0,3,3,400.0,1,0
33.41,6,1,3,0,0,200.46,1501,41,1,1,3,1000.0,0,0
11.57,8,2,3,5,6,86.56,1501,41,1,0,3,1000.0,0,0
28.09,7,3,3,5,13,183.63,1501,41,1,0,3,1000.0,0,0
29.55,2,1,3,5,6,53.1,2561,38,1,3,3,400.0,1,0
18.07,9,1,2,5,3,159.63,4608,31,0,0,3,800.0,1,1
36.94,6,3,4,1,6,215.64,2680,37,1,0,1,1000.0,0,0
47.78,0,3,1,4,0,0.0,7792,48,0,1,3,1000.0,0,0
32.82,9,0,1,3,24,271.38,51,33,0,3,0,400.0,0,0
14.26,0,1,0,1,0,0.0,84,38,0,3,3,800.0,1,0
49.98,8,3,2,0,0,399.84,3938,37,1,3,1,400.0,0,1
36.7,7,2,3,1,4,252.9,5163,50,1,0,3,800.0,1,1
37.82,3,1,3,0,0,113.46,6799,39,0,4,2,1000.0,0,0
23.65,10,3,3,3,2,234.5,4528,50,1,1,0,500.0,1,0
10.73,9,2,0,2,1,95.57,5955,31,0,2,1,500.0,0,1
17.83,8,0,1,0,0,142.64,9911,36,1,3,3,400.0,0,1
47.08,5,2,3,3,16,219.4,6920,18,0,2,3,500.0,1,0
29.43,0,1,3,3,0,0.0,1260,32,1,0,3,300.0,0,0
38.65,2,1,0,3,21,56.3,4530,37,0,1,0,300.0,0,0
17.26,2,3,3,0,0,34.52,2640,47,1,0,3,300.0,0,1
11.74,7,3,1,4,3,79.18,5305,39,1,0,3,500.0,1,0
45.37,8,0,3,4,6,356.96,2800,39,0,1,3,400.0,0,0
19.12,1,3,3,3,2,17.12,4528,50,1,0,0,500.0,1,0
41.22,1,1,3,0,0,41.22,6920,18,0,0,3,500.0,1,0
26.95,7,0,0,2,3,185.65,1402,30,1,1,3,600.0,0,0
16.72,4,1,4,5,4,62.88,9918,31,1,1,3,300.0,0,0
45.77,5,3,0,0,0,228.85,3706,40,1,0,3,400.0,0,0
19.07,10,1,3,4,4,186.7,4646,14,0,3,3,1000.0,0,0
12.78,8,0,3,5,1,101.24,4646,14,1,3,3,1000.0,0,0
31.32,1,3,0,3,4,27.32,3214,30,1,2,3,600.0,0,0
23.32,1,1,2,4,1,22.32,72,32,0,0,3,200.0,0,1
