订单ID,用户ID,商品名称,包装规格,单价(元),数量(个),订单金额(元),下单时间,消费城市级别,支付方式,优惠方式,优惠金额(元),实际支付(元),库存剩余(件),商品评分,是否复购,客户年龄段
2634226,976013,蒜蓉西兰花,400g,31.19,0,0,2024/7/27 21:25,新一线,余额,会员折扣,0,0,77,45,1,25-34
6588000,726466,凉拌黄瓜,1000g,45.89,10,458.9,2024/9/19 15:54,二线,微信,会员折扣,6,452.9,7981,31,0,45-54
8146892,247206,鱼香肉丝,1000g,46.02,0,0,2024/7/25 0:08,二线,余额,满减,0,0,7556,50,1,18-24
9533759,823528,糖醋里脊,1000g,45.88,4,183.52,2024/8/1 8:10,三线,余额,店铺券,14,169.52,1379,38,0,18-24
1067736,923659,番茄炒蛋,300g,45.48,0,0,2024/1/24 9:09,新一线,支付宝,平台券,0,0,9,17,0,25-34
9806988,934740,糖醋里脊,200g,37.68,0,0,2024/10/10 3:15,二线,支付宝,平台券,0,0,55,24,1,45-54
9806988,934740,糖醋里脊,200g,18.97,7,132.79,2024/10/10 3:15,一线,支付宝,秒杀,11,121.79,55,24,1,35-44
9781800,127106,鱼香肉丝,200g,13.75,10,137.5,2024/8/30 19:30,新一线,支付宝,无,0,137.5,7079,33,1,35-44
5976746,528922,螺蛳粉,400g,20.61,2,41.22,2024/3/8 11:18,一线,余额,满减,0,41.22,5200,45,1,18-24
7823400,104168,蒜蓉西兰花,400g,48.92,10,489.2,2024/7/31 15:31,一线,支付宝,会员折扣,7,482.2,6088,44,1,45-54
7823400,104168,蒜蓉西兰花,400g,45.68,2,91.36,2024/7/31 15:31,新一线,支付宝,无,0,91.36,6088,44,0,18-24
7823400,104168,蒜蓉西兰花,400g,35.25,9,317.25,2024/7/31 15:31,一线,支付宝,秒杀,2,315.25,6088,44,1,35-44
9806988,934740,糖醋里脊,200g,41.79,2,83.58,2024/10/10 3:15,新一线,支付宝,秒杀,21,62.58,55,24,1,25-34
8716988,309186,螺蛳粉,300g,35.82,6,214.92,2024/8/19 18:08,一线,云闪付,满减,54,160.92,84,41,1,25-34
9251721,345072,蒜蓉西兰花,500g,27.13,6,162.78,2024/10/15 13:38,新一线,余额,无,0,162.78,33,31,1,25-34
5461910,848050,蒜蓉西兰花,500g,48.67,9,438.03,2024/5/8 4:01,新一线,银行卡,店铺券,23,415.03,4971,48,0,55+
8716988,309186,螺蛳粉,300g,34.6,8,276.8,2024/8/19 18:08,新一线,云闪付,平台券,42,234.8,84,41,1,18-24
8072778,688835,凉拌黄瓜,1000g,42.37,7,296.59,2024/10/13 2:39,新一线,余额,满减,10,286.59,8327,42,1,45-54
2062201,646906,糖醋里脊,600g,46.53,0,0,2024/5/18 6:22,三线,余额,满减,0,0,7214,32,0,45-54
2062201,646906,糖醋里脊,600g,30.45,7,213.15,2024/5/18 6:22,新一线,余额,会员折扣,6,207.15,7214,32,0,25-34
5727783,587251,蒜蓉西兰花,500g,28.62,5,143.1,2024/10/11 2:55,一线,支付宝,秒杀,5,138.1,3145,44,1,18-24
3411915,942847,蒜蓉西兰花,200g,31.71,2,63.42,2024/1/30 7:54,新一线,银行卡,满减,2,61.42,1541,25,1,25-34
3411915,942847,蒜蓉西兰花,200g,21.46,8,171.68,2024/1/30 7:54,三线,银行卡,满减,8,163.68,1541,25,1,45-54
2062201,646906,糖醋里脊,600g,30.89,7,216.23,2024/5/18 6:22,新一线,余额,满减,6,210.23,7214,32,1,18-24
8072778,688835,凉拌黄瓜,1000g,20.83,5,104.15,2024/10/13 2:39,一线,余额,会员折扣,4,100.15,8327,42,1,45-54
7624132,167794,清蒸鲈鱼,1000g,19.91,0,0,2024/9/13 4:48,三线,支付宝,无,0,0,4646,14,1,18-24
2155623,750732,螺蛳粉,200g,10.58,0,0,2024/5/21 5:31,新一线,云闪付,无,0,0,3262,35,0,18-24
8716988,309186,螺蛳粉,300g,11.84,4,47.36,2024/8/19 18:08,一线,云闪付,平台券,4,43.36,84,41,1,18-24
2195472,456098,蒜蓉西兰花,500g,44.22,0,0,2024/9/6 4:59,一线,银行卡,满减,0,0,6507,31,1,25-34
3411915,942847,蒜蓉西兰花,200g,38.15,2,76.3,2024/1/30 7:54,一线,银行卡,平台券,10,66.3,1541,25,1,35-44
4743796,280399,宫保鸡丁,200g,35.4,1,35.4,2024/6/25 8:01,新一线,云闪付,无,0,35.4,14,42,1,18-24
1067736,923659,番茄炒蛋,300g,16.52,9,148.68,2024/1/24 9:09,一线,支付宝,秒杀,27,121.68,9,17,0,18-24
7823400,104168,蒜蓉西兰花,400g,11.06,0,0,2024/7/31 15:31,二线,支付宝,满减,0,0,6088,44,1,45-54
2634226,976013,蒜蓉西兰花,400g,33.02,5,165.1,2024/7/27 21:25,三线,余额,满减,33,132.1,77,45,1,25-34
7624132,167794,清蒸鲈鱼,1000g,17.83,9,160.47,2024/9/13 4:48,一线,支付宝,满减,2,158.47,4646,14,0,25-34
5678004,697211,鱼香肉丝,800g,12.85,7,89.95,2024/7/28 5:46,新一线,微信,秒杀,18,71.95,87,40,1,45-54
9907254,954155,回锅肉,1000g,10.93,1,10.93,2024/2/9 15:42,二线,余额,会员折扣,1,9.93,6916,43,1,18-24
9806988,934740,糖醋里脊,200g,42.58,1,42.58,2024/10/10 3:15,一线,支付宝,平台券,35,7.58,55,24,1,25-34
2300660,532005,番茄炒蛋,400g,37.87,2,75.74,2024/10/23 15:41,三线,银行卡,会员折扣,5,70.74,3706,40,1,18-24
3422134,317470,宫保鸡丁,200g,45.1,9,405.9,2024/4/24 9:06,新一线,支付宝,平台券,23,382.9,3673,43,1,18-24
9533759,823528,糖醋里脊,1000g,42.14,9,379.26,2024/8/1 8:10,新一线,余额,秒杀,3,376.26,1379,38,0,45-54
8072778,688835,凉拌黄瓜,1000g,21.28,9,191.52,2024/10/13 2:39,一线,余额,满减,2,189.52,8327,42,1,45-54
2062201,646906,糖醋里脊,600g,17.1,5,85.5,2024/5/18 6:22,新一线,余额,满减,3,82.5,7214,32,0,45-54
2116138,571795,清蒸鲈鱼,400g,41.06,10,410.6,2024/4/23 15:35,新一线,银行卡,店铺券,45,365.6,20,46,1,25-34
9768747,730371,鱼香肉丝,400g,44.34,7,310.38,2024/7/14 8:20,新一线,支付宝,会员折扣,4,306.38,9724,41,1,18-24
9781800,127106,鱼香肉丝,200g,43.06,2,86.12,2024/8/30 19:30,新一线,支付宝,无,0,86.12,7079,33,1,45-54
2155623,750732,螺蛳粉,200g,22.8,6,136.8,2024/5/21 5:31,新一线,云闪付,平台券,9,127.8,3262,35,0,25-34
9768747,730371,鱼香肉丝,400g,27.94,9,251.46,2024/7/14 8:20,三线,支付宝,秒杀,5,246.46,9724,41,1,25-34
9806988,934740,糖醋里脊,200g,13.65,0,0,2024/10/10 3:15,三线,支付宝,满减,0,0,55,24,1,45-54
7541583,843324,麻婆豆腐,500g,29.78,9,268.02,2024/11/9 19:03,一线,云闪付,无,0,268.02,42,35,0,18-24
5678004,697211,鱼香肉丝,800g,14.04,4,56.16,2024/7/28 5:46,三线,微信,满减,9,47.16,87,40,1,45-54
1067736,923659,番茄炒蛋,300g,13.39,5,66.95,2024/1/24 9:09,新一线,支付宝,会员折扣,19,47.95,9,17,0,25-34
5976746,528922,螺蛳粉,400g,24.97,4,99.88,2024/3/8 11:18,一线,余额,无,0,99.88,5200,45,1,25-34
2062201,646906,糖醋里脊,600g,24.83,0,0,2024/5/18 6:22,新一线,余额,会员折扣,0,0,7214,32,0,18-24
9276636,263575,凉拌黄瓜,200g,29.71,9,267.39,2024/1/22 3:38,三线,支付宝,满减,8,259.39,2633,20,1,18-24
5461910,848050,蒜蓉西兰花,500g,14.75,1,14.75,2024/5/8 4:01,三线,银行卡,会员折扣,5,9.75,4971,48,0,18-24
9742411,937477,糖醋里脊,800g,24.99,0,0,2024/10/10 13:10,新一线,微信,店铺券,0,0,6237,40,1,45-54
9533759,823528,糖醋里脊,1000g,32.15,2,64.3,2024/8/1 8:10,二线,余额,店铺券,1,63.3,1379,38,0,18-24
8146892,247206,鱼香肉丝,1000g,37.83,10,378.3,2024/7/25 0:08,二线,余额,会员折扣,16,362.3,7556,50,1,18-24
7823400,104168,蒜蓉西兰花,400g,35.1,2,70.2,2024/7/31 15:31,一线,支付宝,满减,2,68.2,6088,44,0,25-34
9806988,934740,糖醋里脊,200g,33.37,0,0,2024/10/10 3:15,三线,支付宝,会员折扣,0,0,55,24,1,25-34
6588000,726466,凉拌黄瓜,1000g,11.82,7,82.74,2024/9/19 15:54,新一线,微信,无,0,82.74,7981,31,0,18-24
1367106,162517,鱼香肉丝,200g,48.02,10,480.2,2024/3/19 20:40,新一线,微信,平台券,30,450.2,72,32,0,18-24
3422134,317470,宫保鸡丁,200g,45.61,1,45.61,2024/4/24 9:06,新一线,支付宝,会员折扣,9,36.61,3673,43,1,18-24
7834341,661024,鱼香肉丝,800g,17.52,6,105.12,2024/1/4 15:23,新一线,银行卡,满减,4,101.12,60,32,0,25-34
8072778,688835,凉拌黄瓜,1000g,33.35,7,233.45,2024/10/13 2:39,新一线,余额,满减,11,222.45,8327,42,1,25-34
9768747,730371,鱼香肉丝,400g,49.45,9,445.05,2024/7/14 8:20,三线,支付宝,会员折扣,0,445.05,9724,41,1,18-24
2877035,774453,宫保鸡丁,800g,37.39,3,112.17,2024/12/26 23:56,二线,余额,秒杀,6,106.17,2333,36,0,35-44
1067736,923659,番茄炒蛋,300g,46.44,4,185.76,2024/1/24 9:09,新一线,支付宝,会员折扣,42,143.76,9,17,0,18-24
2155623,750732,螺蛳粉,200g,42.9,1,42.9,2024/5/21 5:31,新一线,云闪付,秒杀,9,33.9,3262,35,0,25-34
8716988,309186,螺蛳粉,300g,11.81,3,35.43,2024/8/19 18:08,三线,云闪付,平台券,14,21.43,84,41,1,18-24
2155623,750732,螺蛳粉,200g,16.02,2,32.04,2024/5/21 5:31,二线,云闪付,无,0,32.04,3262,35,0,18-24
3411915,942847,蒜蓉西兰花,200g,33.77,0,0,2024/1/30 7:54,二线,银行卡,无,0,0,1541,25,1,45-54
1067736,923659,番茄炒蛋,300g,48.8,3,146.4,2024/1/24 9:09,新一线,支付宝,满减,85,61.4,9,17,0,18-24
4743796,280399,宫保鸡丁,200g,20.94,6,125.64,2024/6/25 8:01,一线,云闪付,平台券,3,122.64,14,42,0,25-34
8146892,247206,鱼香肉丝,1000g,42.52,6,255.12,2024/7/25 0:08,新一线,余额,无,0,255.12,7556,50,1,45-54
8146892,247206,鱼香肉丝,1000g,49.87,8,398.96,2024/7/25 0:08,三线,余额,平台券,29,369.96,7556,50,1,18-24
2116138,571795,清蒸鲈鱼,400g,32.22,2,64.44,2024/4/23 15:35,三线,银行卡,无,0,64.44,20,46,1,18-24
2062201,646906,糖醋里脊,600g,40.76,8,326.08,2024/5/18 6:22,新一线,余额,会员折扣,5,321.08,7214,32,1,25-34
3062969,450592,蒜蓉西兰花,500g,43.99,0,0,2024/2/9 22:18,新一线,微信,会员折扣,0,0,33,13,0,45-54
2634226,976013,蒜蓉西兰花,400g,19.15,0,0,2024/7/27 21:25,三线,余额,无,0,0,77,45,1,18-24
6588000,726466,凉拌黄瓜,1000g,34.73,8,277.84,2024/9/19 15:54,新一线,微信,平台券,13,264.84,7981,31,0,35-44
5799471,354815,番茄炒蛋,300g,36.86,6,221.16,2024/7/28 1:27,新一线,支付宝,秒杀,19,202.16,8241,13,0,18-24
1441459,844542,宫保鸡丁,300g,30.81,9,277.29,2024/3/3 17:29,二线,支付宝,满减,27,250.29,20,48,1,35-44
8035671,529518,回锅肉,500g,44.09,4,176.36,2024/11/18 19:49,三线,微信,满减,7,169.36,7663,39,1,18-24
1441459,844542,宫保鸡丁,300g,32.44,2,64.88,2024/3/3 17:29,一线,支付宝,无,0,64.88,20,48,1,35-44
1441459,844542,宫保鸡丁,300g,11.15,4,44.6,2024/3/3 17:29,新一线,支付宝,无,0,44.6,20,48,1,18-24
1980842,146020,糖醋里脊,500g,35.34,10,353.4,2024/10/7 23:19,新一线,云闪付,无,0,353.4,8014,34,0,45-54
8765055,872506,凉拌黄瓜,200g,13.03,1,13.03,2024/3/20 0:36,一线,云闪付,秒杀,0,13.03,7391,45,1,45-54
1441459,844542,宫保鸡丁,300g,23.83,5,119.15,2024/3/3 17:29,新一线,支付宝,秒杀,12,107.15,20,48,0,18-24
8900618,487072,蒜蓉西兰花,400g,28.96,0,0,2024/12/25 16:11,三线,银行卡,满减,0,0,3097,38,0,25-34
1189010,330135,麻婆豆腐,400g,13.55,6,81.3,2024/6/5 6:10,新一线,余额,无,0,81.3,4242,46,1,25-34
4932946,446253,糖醋里脊,200g,14.83,10,148.3,2024/10/10 8:54,新一线,余额,无,0,148.3,4018,32,0,25-34
4806186,903302,鱼香肉丝,800g,24.57,2,49.14,2024/4/26 8:20,新一线,银行卡,无,0,49.14,6367,47,1,25-34
6571201,563310,回锅肉,300g,37.62,2,75.24,2024/6/24 8:24,新一线,支付宝,会员折扣,65,10.24,79,40,1,45-54
8900618,487072,蒜蓉西兰花,400g,46.83,6,280.98,2024/12/25 16:11,新一线,银行卡,无,0,280.98,3097,38,1,35-44
4932946,446253,糖醋里脊,200g,18.37,7,128.59,2024/10/10 8:54,一线,余额,满减,3,125.59,4018,32,0,25-34
4932946,446253,糖醋里脊,200g,29.38,5,146.9,2024/10/10 8:54,一线,余额,秒杀,16,130.9,4018,32,0,18-24
1189010,330135,麻婆豆腐,400g,45.81,4,183.24,2024/6/5 6:10,新一线,余额,秒杀,20,163.24,4242,46,1,25-34
4196457,583172,蒜蓉西兰花,1000g,27.9,3,83.7,2024/7/3 22:48,新一线,余额,满减,32,51.7,95,32,0,25-34
3355177,683283,凉拌黄瓜,400g,33.47,4,133.88,2024/11/19 20:23,新一线,云闪付,会员折扣,34,99.88,12,33,0,18-24
3101763,112860,凉拌黄瓜,200g,15.1,3,45.3,2024/2/19 10:33,三线,微信,会员折扣,8,37.3,5738,34,0,45-54
2176558,462902,螺蛳粉,200g,35.84,9,322.56,2024/4/26 1:00,新一线,云闪付,会员折扣,16,306.56,72,36,0,18-24
2664091,511301,糖醋里脊,400g,17.46,4,69.84,2024/11/17 23:38,新一线,微信,店铺券,2,67.84,1022,46,1,35-44
1299090,510369,番茄炒蛋,1000g,45.87,5,229.35,2024/12/24 17:27,二线,余额,店铺券,16,213.35,48,48,1,35-44
1299090,510369,番茄炒蛋,1000g,13.21,1,13.21,2024/12/24 17:27,新一线,余额,会员折扣,4,9.21,48,48,1,45-54
4348710,334460,鱼香肉丝,800g,30.98,2,61.96,2024/7/7 13:53,二线,银行卡,秒杀,6,55.96,25,39,1,18-24
2472899,860150,麻婆豆腐,300g,14.48,1,14.48,2024/10/22 1:50,三线,微信,秒杀,3,11.48,8987,30,0,18-24
5366688,975283,回锅肉,500g,42.68,10,426.8,2024/4/9 13:40,新一线,余额,无,0,426.8,8759,34,0,18-24
4267157,915116,糖醋里脊,1000g,36.75,7,257.25,2024/2/17 16:16,新一线,微信,店铺券,27,230.25,72,48,1,18-24
3934110,335740,蒜蓉西兰花,200g,32.86,0,0,2024/1/31 9:01,新一线,支付宝,无,0,0,9165,37,1,18-24
3934110,335740,蒜蓉西兰花,200g,22.95,4,91.8,2024/1/31 9:01,新一线,支付宝,会员折扣,7,84.8,9165,37,1,18-24
8499130,225865,宫保鸡丁,800g,34.42,10,344.2,2024/6/27 13:47,新一线,余额,店铺券,11,333.2,9445,42,1,45-54
1833296,653275,麻婆豆腐,300g,21.55,0,0,2024/5/15 23:34,三线,云闪付,平台券,0,0,68,38,0,45-54
1833296,653275,麻婆豆腐,300g,16.17,1,16.17,2024/5/15 23:34,新一线,云闪付,秒杀,16,0.17,68,38,0,25-34
2708383,842464,糖醋里脊,500g,31.3,2,62.6,2024/3/7 12:05,新一线,银行卡,无,0,62.6,7985,39,0,18-24
5580557,863577,麻婆豆腐,800g,12.53,5,62.65,2024/8/3 0:12,三线,支付宝,无,0,62.65,23,31,1,18-24
5580557,863577,麻婆豆腐,800g,49.6,0,0,2024/8/3 0:12,三线,支付宝,会员折扣,0,0,23,31,1,18-24
1833296,653275,麻婆豆腐,300g,37.26,2,74.52,2024/5/15 23:34,三线,云闪付,秒杀,8,66.52,68,38,0,45-54
5366688,975283,回锅肉,500g,28.86,4,115.44,2024/4/9 13:40,新一线,余额,店铺券,5,110.44,8759,34,0,18-24
5580557,863577,麻婆豆腐,800g,47.18,9,424.62,2024/8/3 0:12,新一线,支付宝,会员折扣,3,421.62,23,31,1,45-54
4267157,915116,糖醋里脊,1000g,48.6,2,97.2,2024/2/17 16:16,新一线,微信,无,0,97.2,72,48,0,18-24
4262813,512571,蒜蓉西兰花,200g,39.23,4,156.92,2024/10/21 17:18,二线,余额,会员折扣,6,150.92,7085,44,1,18-24
8392210,189676,糖醋里脊,1000g,47.53,8,380.24,2024/6/28 12:29,新一线,银行卡,秒杀,6,374.24,9802,15,0,35-44
9042869,723361,番茄炒蛋,500g,16.57,9,149.13,2024/6/10 7:38,一线,云闪付,平台券,8,141.13,48,39,1,25-34
7063445,495794,糖醋里脊,800g,42.66,1,42.66,2024/12/12 3:20,三线,银行卡,会员折扣,42,0.66,64,45,1,45-54
4262813,512571,蒜蓉西兰花,200g,25.08,5,125.4,2024/10/21 17:18,三线,余额,满减,3,122.4,7085,44,1,18-24
5366688,975283,回锅肉,500g,30.11,0,0,2024/4/9 13:40,新一线,余额,会员折扣,0,0,8759,34,0,35-44
2472899,860150,麻婆豆腐,300g,45.98,4,183.92,2024/10/22 1:50,三线,微信,店铺券,5,178.92,8987,30,0,25-34
8499130,225865,宫保鸡丁,800g,25.36,4,101.44,2024/6/27 13:47,三线,余额,满减,9,92.44,9445,42,1,25-34
3934110,335740,蒜蓉西兰花,200g,31.74,1,31.74,2024/1/31 9:01,一线,支付宝,无,0,31.74,9165,37,1,35-44
2708383,842464,糖醋里脊,500g,47.59,5,237.95,2024/3/7 12:05,一线,银行卡,会员折扣,6,231.95,7985,39,0,45-54
8392210,189676,糖醋里脊,1000g,34.8,1,34.8,2024/6/28 12:29,二线,银行卡,秒杀,1,33.8,9802,15,0,25-34
5580557,863577,麻婆豆腐,800g,31.34,10,313.4,2024/8/3 0:12,三线,支付宝,会员折扣,38,275.4,23,31,1,45-54
4267157,915116,糖醋里脊,1000g,22.47,8,179.76,2024/2/17 16:16,二线,微信,满减,9,170.76,72,48,1,45-54
5366688,975283,回锅肉,500g,19.94,5,99.7,2024/4/9 13:40,一线,余额,秒杀,3,96.7,8759,34,0,55+
1833296,653275,麻婆豆腐,300g,39.76,0,0,2024/5/15 23:34,二线,云闪付,无,0,0,68,38,0,18-24
3934110,335740,蒜蓉西兰花,200g,14.43,3,43.29,2024/1/31 9:01,新一线,支付宝,秒杀,3,40.29,9165,37,1,18-24
3018512,262818,宫保鸡丁,500g,41.89,9,377.01,2024/2/6 15:53,新一线,云闪付,平台券,16,361.01,8,31,1,18-24
7521161,143336,糖醋里脊,300g,38.8,4,155.2,2024/7/17 21:52,一线,支付宝,满减,6,149.2,5468,39,1,18-24
2023374,524398,鱼香肉丝,800g,20.07,1,20.07,2024/2/6 19:28,二线,支付宝,会员折扣,7,13.07,2546,32,1,45-54
9612959,363302,宫保鸡丁,800g,46.34,10,463.4,2024/4/28 14:32,新一线,云闪付,无,0,463.4,4925,47,1,45-54
5418578,328553,蒜蓉西兰花,200g,28.48,6,170.88,2024/11/29 20:10,新一线,银行卡,会员折扣,12,158.88,7089,38,1,55+
7521161,143336,糖醋里脊,300g,30.24,7,211.68,2024/7/17 21:52,一线,支付宝,会员折扣,5,206.68,5468,39,1,45-54
5739516,604672,回锅肉,500g,37.87,2,75.74,2024/9/16 5:55,新一线,余额,满减,46,29.74,14,35,1,25-34
8729079,888701,番茄炒蛋,600g,16.1,1,16.1,2024/10/27 11:41,新一线,余额,满减,3,13.1,1751,34,1,25-34
7756429,148875,麻婆豆腐,500g,47.37,4,189.48,2024/7/5 18:26,新一线,支付宝,平台券,3,186.48,6295,49,1,25-34
7257526,361467,糖醋里脊,800g,44.8,8,358.4,2024/2/16 1:13,新一线,支付宝,满减,6,352.4,3727,38,1,45-54
1335153,552672,鱼香肉丝,200g,12.19,9,109.71,2024/9/23 21:04,二线,银行卡,秒杀,1,108.71,1310,36,1,25-34
4605518,940890,蒜蓉西兰花,1000g,23.41,10,234.1,2024/2/24 9:52,三线,银行卡,无,0,234.1,5662,10,0,18-24
