单价(元),数量(个),消费城市级别,支付方式,优惠方式,优惠金额(元),实际支付(元),库存剩余(件),商品评分,是否复购,客户年龄段,商品类别,包装规格(g),是否节假日,是否用餐高峰
12.06,4,一线,微信,会员折扣,12,36.24,33,13,0,45-54,蔬菜,500.0,否,否
21.15,5,一线,云闪付,会员折扣,3,102.75,3262,35,0,18-24,主食面汤,200.0,否,否
19.58,10,新一线,支付宝,满减,9,186.8,9,17,0,18-24,肉食,300.0,否,是
15.8,9,新一线,余额,会员折扣,3,139.2,4024,35,0,45-54,肉食,1000.0,否,是
49.43,8,二线,余额,秒杀,24,371.44,7556,50,1,35-44,肉食,1000.0,否,否
36.89,0,一线,支付宝,满减,0,0.0,9,17,0,35-44,肉食,300.0,否,是
40.46,0,一线,支付宝,满减,0,0.0,9724,41,1,18-24,肉食,400.0,是,是
39.13,10,新一线,云闪付,满减,13,378.3,3262,35,0,18-24,主食面汤,200.0,否,否
24.71,8,一线,余额,无,0,197.68,7556,50,1,18-24,肉食,1000.0,否,否
35.34,8,新一线,支付宝,无,0,282.72,9,17,0,25-34,肉食,300.0,否,是
31.43,2,一线,支付宝,会员折扣,7,55.86,8241,13,0,25-34,肉食,300.0,是,否
22.83,7,新一线,云闪付,秒杀,4,155.81,3262,35,0,25-34,主食面汤,200.0,否,否
11.63,8,新一线,微信,无,0,93.04,87,40,1,35-44,肉食,800.0,是,否
33.64,4,新一线,支付宝,无,0,134.56,9724,41,1,25-34,肉食,400.0,是,是
23.64,0,一线,余额,店铺券,0,0.0,77,45,1,55+,蔬菜,400.0,是,否
20.32,1,新一线,余额,秒杀,8,12.32,7556,50,1,45-54,肉食,1000.0,否,否
32.21,4,一线,云闪付,无,0,128.84,3262,35,0,25-34,主食面汤,200.0,否,否
31.19,0,新一线,余额,会员折扣,0,0.0,77,45,1,25-34,蔬菜,400.0,是,否
45.89,10,二线,微信,会员折扣,6,452.9,7981,31,0,45-54,蔬菜,1000.0,否,否
46.02,0,二线,余额,满减,0,0.0,7556,50,1,18-24,肉食,1000.0,否,否
45.88,4,三线,余额,店铺券,14,169.52,1379,38,0,18-24,肉食,1000.0,否,是
45.48,0,新一线,支付宝,平台券,0,0.0,9,17,0,25-34,肉食,300.0,否,是
37.68,0,二线,支付宝,平台券,0,0.0,55,24,1,45-54,肉食,200.0,否,否
18.97,7,一线,支付宝,秒杀,11,121.79,55,24,1,35-44,肉食,200.0,否,否
13.75,10,新一线,支付宝,无,0,137.5,7079,33,1,35-44,肉食,200.0,否,是
20.61,2,一线,余额,满减,0,41.22,5200,45,1,18-24,主食面汤,400.0,否,是
48.92,10,一线,支付宝,会员折扣,7,482.2,6088,44,1,45-54,蔬菜,400.0,否,否
45.68,2,新一线,支付宝,无,0,91.36,6088,44,0,18-24,蔬菜,400.0,否,否
35.25,9,一线,支付宝,秒杀,2,315.25,6088,44,1,35-44,蔬菜,400.0,否,否
41.79,2,新一线,支付宝,秒杀,21,62.58,55,24,1,25-34,肉食,200.0,否,否
35.82,6,一线,云闪付,满减,54,160.92,84,41,1,25-34,主食面汤,300.0,否,是
27.13,6,新一线,余额,无,0,162.78,33,31,1,25-34,蔬菜,500.0,否,是
48.67,9,新一线,银行卡,店铺券,23,415.03,4971,48,0,55+,蔬菜,500.0,否,否
34.6,8,新一线,云闪付,平台券,42,234.8,84,41,1,18-24,主食面汤,300.0,否,是
42.37,7,新一线,余额,满减,10,286.59,8327,42,1,45-54,蔬菜,1000.0,是,否
46.53,0,三线,余额,满减,0,0.0,7214,32,0,45-54,肉食,600.0,是,是
30.45,7,新一线,余额,会员折扣,6,207.15,7214,32,0,25-34,肉食,600.0,是,是
28.62,5,一线,支付宝,秒杀,5,138.1,3145,44,1,18-24,蔬菜,500.0,否,否
31.71,2,新一线,银行卡,满减,2,61.42,1541,25,1,25-34,蔬菜,200.0,否,是
21.46,8,三线,银行卡,满减,8,163.68,1541,25,1,45-54,蔬菜,200.0,否,是
30.89,7,新一线,余额,满减,6,210.23,7214,32,1,18-24,肉食,600.0,是,是
20.83,5,一线,余额,会员折扣,4,100.15,8327,42,1,45-54,蔬菜,1000.0,是,否
19.91,0,三线,支付宝,无,0,0.0,4646,14,1,18-24,肉食,1000.0,否,否
10.58,0,新一线,云闪付,无,0,0.0,3262,35,0,18-24,主食面汤,200.0,否,否
11.84,4,一线,云闪付,平台券,4,43.36,84,41,1,18-24,主食面汤,300.0,否,是
44.22,0,一线,银行卡,满减,0,0.0,6507,31,1,25-34,蔬菜,500.0,否,否
38.15,2,一线,银行卡,平台券,10,66.3,1541,25,1,35-44,蔬菜,200.0,否,是
35.4,1,新一线,云闪付,无,0,35.4,14,42,1,18-24,肉食,200.0,否,是
16.52,9,一线,支付宝,秒杀,27,121.68,9,17,0,18-24,肉食,300.0,否,是
11.06,0,二线,支付宝,满减,0,0.0,6088,44,1,45-54,蔬菜,400.0,否,否
33.02,5,三线,余额,满减,33,132.1,77,45,1,25-34,蔬菜,400.0,是,否
17.83,9,一线,支付宝,满减,2,158.47,4646,14,0,25-34,肉食,1000.0,否,否
12.85,7,新一线,微信,秒杀,18,71.95,87,40,1,45-54,肉食,800.0,是,否
10.93,1,二线,余额,会员折扣,1,9.93,6916,43,1,18-24,肉食,1000.0,否,否
42.58,1,一线,支付宝,平台券,35,7.58,55,24,1,25-34,肉食,200.0,否,否
37.87,2,三线,银行卡,会员折扣,5,70.74,3706,40,1,18-24,肉食,400.0,否,否
45.1,9,新一线,支付宝,平台券,23,382.9,3673,43,1,18-24,肉食,200.0,否,是
42.14,9,新一线,余额,秒杀,3,376.26,1379,38,0,45-54,肉食,1000.0,否,是
21.28,9,一线,余额,满减,2,189.52,8327,42,1,45-54,蔬菜,1000.0,是,否
17.1,5,新一线,余额,满减,3,82.5,7214,32,0,45-54,肉食,600.0,是,是
41.06,10,新一线,银行卡,店铺券,45,365.6,20,46,1,25-34,肉食,400.0,否,否
44.34,7,新一线,支付宝,会员折扣,4,306.38,9724,41,1,18-24,肉食,400.0,是,是
43.06,2,新一线,支付宝,无,0,86.12,7079,33,1,45-54,肉食,200.0,否,是
22.8,6,新一线,云闪付,平台券,9,127.8,3262,35,0,25-34,主食面汤,200.0,否,否
27.94,9,三线,支付宝,秒杀,5,246.46,9724,41,1,25-34,肉食,400.0,是,是
13.65,0,三线,支付宝,满减,0,0.0,55,24,1,45-54,肉食,200.0,否,否
29.78,9,一线,云闪付,无,0,268.02,42,35,0,18-24,豆制品,500.0,是,是
14.04,4,三线,微信,满减,9,47.16,87,40,1,45-54,肉食,800.0,是,否
13.39,5,新一线,支付宝,会员折扣,19,47.95,9,17,0,25-34,肉食,300.0,否,是
24.97,4,一线,余额,无,0,99.88,5200,45,1,25-34,主食面汤,400.0,否,是
24.83,0,新一线,余额,会员折扣,0,0.0,7214,32,0,18-24,肉食,600.0,是,是
29.71,9,三线,支付宝,满减,8,259.39,2633,20,1,18-24,蔬菜,200.0,否,否
14.75,1,三线,银行卡,会员折扣,5,9.75,4971,48,0,18-24,蔬菜,500.0,否,否
24.99,0,新一线,微信,店铺券,0,0.0,6237,40,1,45-54,肉食,800.0,否,是
32.15,2,二线,余额,店铺券,1,63.3,1379,38,0,18-24,肉食,1000.0,否,是
37.83,10,二线,余额,会员折扣,16,362.3,7556,50,1,18-24,肉食,1000.0,否,否
35.1,2,一线,支付宝,满减,2,68.2,6088,44,0,25-34,蔬菜,400.0,否,否
33.37,0,三线,支付宝,会员折扣,0,0.0,55,24,1,25-34,肉食,200.0,否,否
11.82,7,新一线,微信,无,0,82.74,7981,31,0,18-24,蔬菜,1000.0,否,否
48.02,10,新一线,微信,平台券,30,450.2,72,32,0,18-24,肉食,200.0,否,是
45.61,1,新一线,支付宝,会员折扣,9,36.61,3673,43,1,18-24,肉食,200.0,否,是
17.52,6,新一线,银行卡,满减,4,101.12,60,32,0,25-34,肉食,800.0,否,否
33.35,7,新一线,余额,满减,11,222.45,8327,42,1,25-34,蔬菜,1000.0,是,否
49.45,9,三线,支付宝,会员折扣,0,445.05,9724,41,1,18-24,肉食,400.0,是,是
37.39,3,二线,余额,秒杀,6,106.17,2333,36,0,35-44,肉食,800.0,否,否
46.44,4,新一线,支付宝,会员折扣,42,143.76,9,17,0,18-24,肉食,300.0,否,是
42.9,1,新一线,云闪付,秒杀,9,33.9,3262,35,0,25-34,主食面汤,200.0,否,否
11.81,3,三线,云闪付,平台券,14,21.43,84,41,1,18-24,主食面汤,300.0,否,是
16.02,2,二线,云闪付,无,0,32.04,3262,35,0,18-24,主食面汤,200.0,否,否
33.77,0,二线,银行卡,无,0,0.0,1541,25,1,45-54,蔬菜,200.0,否,是
48.8,3,新一线,支付宝,满减,85,61.4,9,17,0,18-24,肉食,300.0,否,是
20.94,6,一线,云闪付,平台券,3,122.64,14,42,0,25-34,肉食,200.0,否,是
42.52,6,新一线,余额,无,0,255.12,7556,50,1,45-54,肉食,1000.0,否,否
49.87,8,三线,余额,平台券,29,369.96,7556,50,1,18-24,肉食,1000.0,否,否
32.22,2,三线,银行卡,无,0,64.44,20,46,1,18-24,肉食,400.0,否,否
40.76,8,新一线,余额,会员折扣,5,321.08,7214,32,1,25-34,肉食,600.0,是,是
43.99,0,新一线,微信,会员折扣,0,0.0,33,13,0,45-54,蔬菜,500.0,否,否
19.15,0,三线,余额,无,0,0.0,77,45,1,18-24,蔬菜,400.0,是,否
34.73,8,新一线,微信,平台券,13,264.84,7981,31,0,35-44,蔬菜,1000.0,否,否
36.86,6,新一线,支付宝,秒杀,19,202.16,8241,13,0,18-24,肉食,300.0,是,否
30.81,9,二线,支付宝,满减,27,250.29,20,48,1,35-44,肉食,300.0,是,是
44.09,4,三线,微信,满减,7,169.36,7663,39,1,18-24,肉食,500.0,否,是
32.44,2,一线,支付宝,无,0,64.88,20,48,1,35-44,肉食,300.0,是,是
11.15,4,新一线,支付宝,无,0,44.6,20,48,1,18-24,肉食,300.0,是,是
35.34,10,新一线,云闪付,无,0,353.4,8014,34,0,45-54,肉食,500.0,否,否
13.03,1,一线,云闪付,秒杀,0,13.03,7391,45,1,45-54,蔬菜,200.0,否,否
23.83,5,新一线,支付宝,秒杀,12,107.15,20,48,0,18-24,肉食,300.0,是,是
28.96,0,三线,银行卡,满减,0,0.0,3097,38,0,25-34,蔬菜,400.0,否,否
13.55,6,新一线,余额,无,0,81.3,4242,46,1,25-34,豆制品,400.0,否,是
14.83,10,新一线,余额,无,0,148.3,4018,32,0,25-34,肉食,200.0,否,是
24.57,2,新一线,银行卡,无,0,49.14,6367,47,1,25-34,肉食,800.0,否,是
37.62,2,新一线,支付宝,会员折扣,65,10.24,79,40,1,45-54,肉食,300.0,否,是
46.83,6,新一线,银行卡,无,0,280.98,3097,38,1,35-44,蔬菜,400.0,否,否
18.37,7,一线,余额,满减,3,125.59,4018,32,0,25-34,肉食,200.0,否,是
29.38,5,一线,余额,秒杀,16,130.9,4018,32,0,18-24,肉食,200.0,否,是
45.81,4,新一线,余额,秒杀,20,163.24,4242,46,1,25-34,豆制品,400.0,否,是
27.9,3,新一线,余额,满减,32,51.7,95,32,0,25-34,蔬菜,1000.0,否,否
33.47,4,新一线,云闪付,会员折扣,34,99.88,12,33,0,18-24,蔬菜,400.0,否,是
15.1,3,三线,微信,会员折扣,8,37.3,5738,34,0,45-54,蔬菜,200.0,否,否
35.84,9,新一线,云闪付,会员折扣,16,306.56,72,36,0,18-24,主食面汤,200.0,否,否
17.46,4,新一线,微信,店铺券,2,67.84,1022,46,1,35-44,肉食,400.0,是,否
45.87,5,二线,余额,店铺券,16,213.35,48,48,1,35-44,肉食,1000.0,否,是
13.21,1,新一线,余额,会员折扣,4,9.21,48,48,1,45-54,肉食,1000.0,否,是
30.98,2,二线,银行卡,秒杀,6,55.96,25,39,1,18-24,肉食,800.0,是,是
14.48,1,三线,微信,秒杀,3,11.48,8987,30,0,18-24,豆制品,300.0,否,否
42.68,10,新一线,余额,无,0,426.8,8759,34,0,18-24,肉食,500.0,否,是
36.75,7,新一线,微信,店铺券,27,230.25,72,48,1,18-24,肉食,1000.0,是,否
32.86,0,新一线,支付宝,无,0,0.0,9165,37,1,18-24,蔬菜,200.0,否,是
22.95,4,新一线,支付宝,会员折扣,7,84.8,9165,37,1,18-24,蔬菜,200.0,否,是
34.42,10,新一线,余额,店铺券,11,333.2,9445,42,1,45-54,肉食,800.0,否,是
21.55,0,三线,云闪付,平台券,0,0.0,68,38,0,45-54,豆制品,300.0,否,否
16.17,1,新一线,云闪付,秒杀,16,0.17,68,38,0,25-34,豆制品,300.0,否,否
31.3,2,新一线,银行卡,无,0,62.6,7985,39,0,18-24,肉食,500.0,否,是
12.53,5,三线,支付宝,无,0,62.65,23,31,1,18-24,豆制品,800.0,是,否
49.6,0,三线,支付宝,会员折扣,0,0.0,23,31,1,18-24,豆制品,800.0,是,否
37.26,2,三线,云闪付,秒杀,8,66.52,68,38,0,45-54,豆制品,300.0,否,否
28.86,4,新一线,余额,店铺券,5,110.44,8759,34,0,18-24,肉食,500.0,否,是
47.18,9,新一线,支付宝,会员折扣,3,421.62,23,31,1,45-54,豆制品,800.0,是,否
48.6,2,新一线,微信,无,0,97.2,72,48,0,18-24,肉食,1000.0,是,否
39.23,4,二线,余额,会员折扣,6,150.92,7085,44,1,18-24,蔬菜,200.0,否,是
47.53,8,新一线,银行卡,秒杀,6,374.24,9802,15,0,35-44,肉食,1000.0,否,是
16.57,9,一线,云闪付,平台券,8,141.13,48,39,1,25-34,肉食,500.0,否,是
42.66,1,三线,银行卡,会员折扣,42,0.66,64,45,1,45-54,肉食,800.0,否,否
25.08,5,三线,余额,满减,3,122.4,7085,44,1,18-24,蔬菜,200.0,否,是
30.11,0,新一线,余额,会员折扣,0,0.0,8759,34,0,35-44,肉食,500.0,否,是
45.98,4,三线,微信,店铺券,5,178.92,8987,30,0,25-34,豆制品,300.0,否,否
25.36,4,三线,余额,满减,9,92.44,9445,42,1,25-34,肉食,800.0,否,是
31.74,1,一线,支付宝,无,0,31.74,9165,37,1,35-44,蔬菜,200.0,否,是
47.59,5,一线,银行卡,会员折扣,6,231.95,7985,39,0,45-54,肉食,500.0,否,是
34.8,1,二线,银行卡,秒杀,1,33.8,9802,15,0,25-34,肉食,1000.0,否,是
31.34,10,三线,支付宝,会员折扣,38,275.4,23,31,1,45-54,豆制品,800.0,是,否
22.47,8,二线,微信,满减,9,170.76,72,48,1,45-54,肉食,1000.0,是,否
19.94,5,一线,余额,秒杀,3,96.7,8759,34,0,55+,肉食,500.0,否,是
39.76,0,二线,云闪付,无,0,0.0,68,38,0,18-24,豆制品,300.0,否,否
14.43,3,新一线,支付宝,秒杀,3,40.29,9165,37,1,18-24,蔬菜,200.0,否,是
41.89,9,新一线,云闪付,平台券,16,361.01,8,31,1,18-24,肉食,500.0,否,否
38.8,4,一线,支付宝,满减,6,149.2,5468,39,1,18-24,肉食,300.0,否,否
20.07,1,二线,支付宝,会员折扣,7,13.07,2546,32,1,45-54,肉食,800.0,否,是
46.34,10,新一线,云闪付,无,0,463.4,4925,47,1,45-54,肉食,800.0,是,否
28.48,6,新一线,银行卡,会员折扣,12,158.88,7089,38,1,55+,蔬菜,200.0,否,是
30.24,7,一线,支付宝,会员折扣,5,206.68,5468,39,1,45-54,肉食,300.0,否,否
37.87,2,新一线,余额,满减,46,29.74,14,35,1,25-34,肉食,500.0,否,否
16.1,1,新一线,余额,满减,3,13.1,1751,34,1,25-34,肉食,600.0,是,是
47.37,4,新一线,支付宝,平台券,3,186.48,6295,49,1,25-34,豆制品,500.0,否,是
44.8,8,新一线,支付宝,满减,6,352.4,3727,38,1,45-54,肉食,800.0,否,否
12.19,9,二线,银行卡,秒杀,1,108.71,1310,36,1,25-34,肉食,200.0,否,否
23.41,10,三线,银行卡,无,0,234.1,5662,10,0,18-24,蔬菜,1000.0,是,是
42.11,8,新一线,银行卡,满减,12,324.88,8583,37,1,25-34,豆制品,200.0,是,否
25.93,8,新一线,支付宝,会员折扣,1,206.44,6295,49,0,18-24,豆制品,500.0,否,是
23.85,10,二线,支付宝,满减,0,238.5,5323,24,0,45-54,蔬菜,600.0,否,是
23.88,0,新一线,支付宝,会员折扣,0,0.0,61,47,1,45-54,豆制品,400.0,否,是
28.09,3,三线,支付宝,满减,21,63.27,61,47,0,25-34,豆制品,400.0,否,是
36.54,9,三线,余额,秒杀,3,325.86,2897,43,1,25-34,肉食,500.0,是,否
48.44,7,三线,余额,无,0,339.08,2897,43,1,45-54,肉食,500.0,是,否
33.82,1,三线,支付宝,满减,1,32.82,4542,41,1,35-44,主食面汤,200.0,是,是
32.39,0,新一线,支付宝,无,0,0.0,6017,43,1,25-34,肉食,200.0,是,是
16.21,3,二线,云闪付,平台券,0,48.63,5548,44,1,35-44,肉食,1000.0,否,是
44.47,3,三线,云闪付,满减,5,128.41,3808,37,0,25-34,肉食,300.0,否,否
24.93,2,一线,支付宝,满减,0,49.86,3392,43,1,18-24,肉食,500.0,是,否
38.64,7,新一线,云闪付,秒杀,7,263.48,5548,44,1,25-34,肉食,1000.0,否,是
11.08,0,三线,银行卡,秒杀,0,0.0,4693,34,0,18-24,蔬菜,600.0,否,否
36.88,8,新一线,余额,店铺券,1,294.04,1943,14,0,45-54,主食面汤,200.0,是,是
10.79,4,新一线,支付宝,秒杀,1,42.16,6017,43,1,25-34,肉食,200.0,是,是
14.16,5,二线,支付宝,无,0,70.8,6017,43,0,18-24,肉食,200.0,是,是
36.11,1,三线,云闪付,满减,0,36.11,3808,37,0,18-24,肉食,300.0,否,否
13.98,7,三线,支付宝,无,0,97.86,6017,43,1,18-24,肉食,200.0,是,是
21.73,4,新一线,银行卡,会员折扣,1,85.92,4693,34,0,18-24,蔬菜,600.0,否,否
11.06,10,一线,云闪付,无,0,110.6,5548,44,1,18-24,肉食,1000.0,否,是
33.32,6,一线,支付宝,平台券,4,195.92,6017,43,0,18-24,肉食,200.0,是,是
21.78,3,二线,微信,店铺券,0,65.34,8987,30,0,18-24,豆制品,300.0,否,否
47.94,5,三线,支付宝,会员折扣,5,234.7,5468,39,1,45-54,肉食,300.0,否,否
27.01,1,三线,支付宝,无,0,27.01,23,31,1,45-54,豆制品,800.0,是,否
20.75,7,三线,银行卡,满减,3,142.25,9802,15,0,25-34,肉食,1000.0,否,是
31.67,9,三线,支付宝,无,0,285.03,20,48,0,45-54,肉食,300.0,是,是
35.34,2,新一线,云闪付,会员折扣,24,46.68,12,33,0,45-54,蔬菜,400.0,否,是
20.96,9,三线,支付宝,无,0,188.64,3727,38,1,25-34,肉食,800.0,否,否
32.17,5,一线,云闪付,平台券,21,139.85,72,36,0,18-24,主食面汤,200.0,否,否
36.06,4,二线,支付宝,秒杀,2,142.24,6017,43,1,45-54,肉食,200.0,是,是
11.88,1,三线,支付宝,无,0,11.88,61,47,1,18-24,豆制品,400.0,否,是
13.31,4,一线,微信,会员折扣,1,52.24,1022,46,1,18-24,肉食,400.0,是,否
24.23,7,一线,支付宝,满减,8,161.61,20,48,1,55+,肉食,300.0,是,是
47.47,1,三线,微信,会员折扣,9,38.47,8987,30,0,25-34,豆制品,300.0,否,否
33.8,1,新一线,支付宝,平台券,6,27.8,3392,43,1,25-34,肉食,500.0,是,否
33.87,0,新一线,银行卡,店铺券,0,0.0,7985,39,0,18-24,肉食,500.0,否,是
42.76,4,一线,银行卡,平台券,17,154.04,8583,37,1,18-24,豆制品,200.0,是,否
20.89,9,新一线,支付宝,满减,4,184.01,6295,49,1,18-24,豆制品,500.0,否,是
33.61,3,二线,银行卡,会员折扣,3,97.83,7985,39,0,45-54,肉食,500.0,否,是
24.44,8,三线,微信,无,0,195.52,72,48,1,55+,肉食,1000.0,是,否
48.01,7,新一线,支付宝,满减,2,334.07,6017,43,0,18-24,肉食,200.0,是,是
27.84,7,三线,微信,无,0,194.88,5738,34,0,55+,蔬菜,200.0,否,否
43.97,8,新一线,云闪付,满减,15,336.76,8261,33,0,25-34,肉食,1000.0,否,否
47.76,4,二线,云闪付,秒杀,18,173.04,5231,47,1,45-54,肉食,800.0,否,否
11.58,7,新一线,银行卡,无,0,81.06,30,10,0,45-54,蔬菜,300.0,否,否
47.01,2,二线,支付宝,会员折扣,87,7.02,37,38,1,25-34,肉食,800.0,否,是
11.36,5,新一线,支付宝,无,0,56.8,8057,48,1,35-44,肉食,400.0,否,是
37.9,2,一线,支付宝,会员折扣,5,70.8,1037,50,1,35-44,肉食,200.0,否,是
21.89,6,三线,支付宝,无,0,131.34,1982,31,0,55+,蔬菜,400.0,是,是
46.98,2,新一线,支付宝,会员折扣,26,67.96,4032,41,1,18-24,主食面汤,800.0,否,是
33.85,5,新一线,银行卡,无,0,169.25,2115,33,1,25-34,肉食,200.0,否,是
38.99,0,二线,支付宝,无,0,0.0,1982,31,0,25-34,蔬菜,400.0,是,是
34.63,0,新一线,支付宝,满减,0,0.0,37,38,1,25-34,肉食,800.0,否,是
44.99,3,新一线,支付宝,无,0,134.97,37,38,1,25-34,肉食,800.0,否,是
47.56,7,新一线,余额,平台券,56,276.92,22,32,1,25-34,豆制品,600.0,是,否
41.95,4,一线,微信,会员折扣,7,160.8,8090,43,1,18-24,蔬菜,500.0,否,否
49.92,3,新一线,银行卡,无,0,149.76,1437,50,1,35-44,肉食,200.0,否,是
24.03,1,二线,云闪付,会员折扣,5,19.03,6757,36,1,25-34,蔬菜,600.0,否,是
29.2,2,三线,支付宝,无,0,58.4,5606,30,0,45-54,蔬菜,200.0,否,否
44.95,3,新一线,微信,无,0,134.85,9869,30,1,25-34,肉食,1000.0,否,是
49.36,9,二线,支付宝,店铺券,3,441.24,3060,43,1,25-34,肉食,500.0,否,否
40.73,10,新一线,微信,平台券,14,393.3,9000,31,1,55+,肉食,1000.0,否,是
24.18,7,新一线,支付宝,满减,2,167.26,8057,48,1,45-54,肉食,400.0,否,是
21.49,5,三线,云闪付,满减,21,86.45,79,13,0,18-24,蔬菜,1000.0,否,是
11.68,6,一线,支付宝,秒杀,4,66.08,6,35,0,25-34,主食面汤,500.0,是,否
25.37,7,二线,支付宝,秒杀,4,173.59,2249,43,1,45-54,肉食,1000.0,否,否
41.45,7,一线,微信,无,0,290.15,9000,31,1,18-24,肉食,1000.0,否,是
26.7,3,三线,支付宝,店铺券,6,74.1,4032,41,1,18-24,主食面汤,800.0,否,是
19.27,0,新一线,微信,无,0,0.0,9869,30,1,18-24,肉食,1000.0,否,是
47.71,9,新一线,云闪付,秒杀,27,402.39,5962,34,0,45-54,蔬菜,200.0,是,是
17.06,8,二线,银行卡,满减,1,135.48,1437,50,0,35-44,肉食,200.0,否,是
12.31,4,二线,支付宝,秒杀,1,48.24,2249,43,1,18-24,肉食,1000.0,否,否
16.96,6,三线,云闪付,平台券,1,100.76,2772,39,0,25-34,豆制品,200.0,否,是
40.33,0,一线,微信,无,0,0.0,9000,31,1,45-54,肉食,1000.0,否,是
31.48,8,新一线,云闪付,会员折扣,5,246.84,4789,34,1,18-24,肉食,300.0,是,是
33.2,8,新一线,支付宝,会员折扣,17,248.6,1547,39,1,25-34,蔬菜,500.0,否,是
13.66,9,一线,微信,店铺券,3,119.94,8090,43,1,18-24,蔬菜,500.0,否,否
20.62,8,一线,云闪付,会员折扣,6,158.96,5231,47,1,18-24,肉食,800.0,否,否
15.18,4,三线,支付宝,满减,1,59.72,1982,31,0,45-54,蔬菜,400.0,是,是
45.55,9,一线,余额,无,0,409.95,5853,30,1,18-24,蔬菜,200.0,否,是
32.03,9,新一线,支付宝,无,0,288.27,6,35,0,25-34,主食面汤,500.0,是,否
26.34,5,三线,云闪付,满减,6,125.7,6757,36,1,25-34,蔬菜,600.0,否,是
13.24,1,三线,云闪付,会员折扣,3,10.24,6843,32,0,55+,肉食,800.0,否,是
37.33,0,三线,支付宝,满减,0,0.0,1982,31,0,45-54,蔬菜,400.0,是,是
13.05,10,一线,支付宝,秒杀,2,128.5,6,35,0,45-54,主食面汤,500.0,是,否
33.7,5,新一线,云闪付,无,0,168.5,4016,45,1,55+,肉食,1000.0,是,是
42.99,7,一线,银行卡,会员折扣,20,280.93,1235,37,0,25-34,肉食,800.0,是,是
45.15,4,二线,微信,会员折扣,6,174.6,8090,43,1,25-34,蔬菜,500.0,否,否
44.02,0,新一线,支付宝,无,0,0.0,1037,50,1,25-34,肉食,200.0,否,是
